                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1051,                0.17552,                0.46562,                  2.355,             0.00023768,             0.00023768,             0.00023768
                      2,                0.78094,                0.29382,                0.64207,                 2.3008,             0.00046391,             0.00046391,             0.00046391
                      3,                0.69079,                0.32284,                0.66107,                 2.2879,             0.00067836,             0.00067836,             0.00067836
                      4,                0.63202,                 0.3542,                0.69942,                 2.2683,             0.00066099,             0.00066099,             0.00066099
                      5,                0.57676,                0.37902,                 0.7338,                 2.2546,             0.00066099,             0.00066099,             0.00066099
                      6,                0.53683,                0.40093,                0.75105,                 2.2456,             0.00064331,             0.00064331,             0.00064331
                      7,                0.50007,                0.41131,                0.75746,                 2.2367,             0.00062564,             0.00062564,             0.00062564
                      8,                0.46859,                0.41387,                0.76317,                 2.2306,             0.00060797,             0.00060797,             0.00060797
                      9,                 0.4408,                0.43403,                0.77413,                  2.225,              0.0005903,              0.0005903,              0.0005903
                     10,                0.41435,                0.44266,                0.77145,                 2.2188,             0.00057263,             0.00057263,             0.00057263
                     11,                0.39858,                0.43893,                 0.7704,                 2.2184,             0.00055496,             0.00055496,             0.00055496
                     12,                0.38037,                0.45093,                0.78217,                 2.2092,             0.00053728,             0.00053728,             0.00053728
                     13,                0.36216,                 0.4514,                0.78497,                 2.2096,             0.00051961,             0.00051961,             0.00051961
                     14,                0.34579,                0.45594,                0.78741,                 2.2059,             0.00050194,             0.00050194,             0.00050194
                     15,                0.33245,                0.45291,                0.78788,                 2.2045,             0.00048427,             0.00048427,             0.00048427
                     16,                0.31408,                0.45828,                0.78846,                 2.2029,              0.0004666,              0.0004666,              0.0004666
                     17,                0.30553,                0.45396,                0.78427,                 2.2014,             0.00044893,             0.00044893,             0.00044893
                     18,                0.28686,                0.46305,                0.78648,                 2.1987,             0.00043126,             0.00043126,             0.00043126
                     19,                0.27206,                0.46702,                0.78531,                 2.1951,             0.00041358,             0.00041358,             0.00041358
                     20,                0.26158,                0.47284,                0.79371,                 2.1919,             0.00039591,             0.00039591,             0.00039591
                     21,                0.24982,                0.46993,                0.78776,                 2.1931,             0.00037824,             0.00037824,             0.00037824
                     22,                0.23688,                0.47366,                0.78858,                   2.19,             0.00036057,             0.00036057,             0.00036057
                     23,                0.22594,                0.47075,                0.79021,                 2.1875,              0.0003429,              0.0003429,              0.0003429
                     24,                0.21854,                 0.4683,                0.79172,                 2.1907,             0.00032523,             0.00032523,             0.00032523
                     25,                0.21183,                0.46865,                0.79231,                 2.1888,             0.00030756,             0.00030756,             0.00030756
